"Model","AUPRC","Site"
"Central",0.911118616101862,1
"Site1_Local",0.932229409247808,1
"Site2_Local",0.897864482851826,1
"Site3_Local",0.891859529674321,1
"DAC",0.911821880761732,1
"Meta",0.904382660736769,1
"SHIR",0.907408840368961,1
"fedavg",0.924024363649249,1
"Qfedavg",0.954603434301722,1
"fedavgM",0.924306846327803,1
"coef_fedprox_lr0.01_drop0_mu0",0.910299206337804,1
"Central",0.921967123363475,2
"Site1_Local",0.905773627538064,2
"Site2_Local",0.936756997161631,2
"Site3_Local",0.906570510139754,2
"DAC",0.921478080700276,2
"Meta",0.920137489674765,2
"SHIR",0.91855061921487,2
"fedavg",0.924895468702402,2
"Qfedavg",0.90957564891144,2
"fedavgM",0.925117856428499,2
"coef_fedprox_lr0.01_drop0_mu0",0.920165848604548,2
"Central",0.898342456195578,3
"Site1_Local",0.882354771349212,3
"Site2_Local",0.893017129766765,3
"Site3_Local",0.917029742893916,3
"DAC",0.89897402145979,3
"Meta",0.910735997573819,3
"SHIR",0.895325587324824,3
"fedavg",0.901624778335465,3
"Qfedavg",0.87802555533342,3
"fedavgM",0.90162721664131,3
"coef_fedprox_lr0.01_drop0_mu0",0.896831237973486,3
