"","x"
"1",0.0606749836850289
"2",-1.91979580777029
"3",0.88458838168089
"4",0.739468460345966
"5",0.205188625627315
"6",0.15492532225681
"7",0
"8",0
"9",0
"10",-0.158232979747209
"11",-0.10736701392347
"12",0
"13",0
"14",0
"15",0
"16",-0.015852703807612
"17",-0.0159401920541893
"18",0
"19",0
"20",0
"21",-0.0787823544100558
"22",0
"23",0
"24",-0.226254385159157
"25",-0.018081783846243
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.104395656482477
"33",0
"34",0.00608205498440029
"35",0.011163936837235
"36",0
"37",0.0333813838725659
"38",0
"39",0
"40",0
"41",0
"42",0
"43",-0.0216957074419254
"44",-0.100185462004894
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.206201917952972
"54",0
"55",0
"56",0
"57",0
"58",-0.004201771107536
"59",0
"60",-0.078969097712562
"61",0
"62",0
"63",0
"64",0.0478537786146707
"65",0.116510382361867
"66",0.136835575394047
"67",0
"68",0.125021453830254
"69",0.0151942907845246
"70",0
"71",0
"72",-0.0174208918167001
"73",-0.0543680516768713
"74",0.0592643687071577
"75",0
"76",0.0962708774284194
"77",0
"78",0
"79",0.0559286470560118
"80",0
"81",0
"82",0.0286718000689069
"83",0
"84",0
"85",0
"86",0.121975125789365
"87",0
"88",0.168637470210813
"89",0
"90",0
"91",0
"92",-0.144200219672307
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0.10334863284054
