"Model","AUPRC","Site"
"Central",0.891759436037186,1
"Site1_Local",0.911525905166879,1
"Site2_Local",0.881877778871358,1
"Site3_Local",0.890782453898481,1
"DAC",0.891851415454067,1
"Meta",0.893199568356389,1
"SHIR",0.891478806142252,1
"fedavg",0.898756042738953,1
"Qfedavg",0.914039631888784,1
"fedavgM",0.898848137877084,1
"coef_fedprox_lr0.01_drop0_mu0",0.89095514972965,1
"Central",0.894276235794095,2
"Site1_Local",0.878983197743627,2
"Site2_Local",0.904891416843151,2
"Site3_Local",0.895258974559372,2
"DAC",0.895329180281979,2
"Meta",0.898901896309633,2
"SHIR",0.894513598241662,2
"fedavg",0.89738601837922,2
"Qfedavg",0.900195206301091,2
"fedavgM",0.897369425667117,2
"coef_fedprox_lr0.01_drop0_mu0",0.886797517443622,2
"Central",0.919081395810176,3
"Site1_Local",0.907144265630825,3
"Site2_Local",0.914280048634414,3
"Site3_Local",0.924965347355904,3
"DAC",0.918113417501479,3
"Meta",0.92245321531929,3
"SHIR",0.917306937061458,3
"fedavg",0.919681122467599,3
"Qfedavg",0.915810880532756,3
"fedavgM",0.919654746884604,3
"coef_fedprox_lr0.01_drop0_mu0",0.914077939256457,3
