"Model","AUPRC","Site"
"Central",0.910425130909194,1
"Site1_Local",0.916361158691659,1
"Site2_Local",0.913123802167323,1
"Site3_Local",0.910514754408893,1
"Meta",0.912171901376756,1
"GLORE",0.910425130909194,1
"fedavg",0.910752511048782,1
"Qfedavg",0.911687290660092,1
"fedavgM",0.910752511048782,1
"coef_fedprox_lr0.01_drop0_mu0",0.910910441891579,1
"Central",0.919601504023782,2
"Site1_Local",0.917397606726636,2
"Site2_Local",0.920639719458024,2
"Site3_Local",0.919353044242499,2
"Meta",0.920026333276724,2
"GLORE",0.919601504023782,2
"fedavg",0.919987603968937,2
"Qfedavg",0.919759208519628,2
"fedavgM",0.919987603968937,2
"coef_fedprox_lr0.01_drop0_mu0",0.919480657178187,2
"Central",0.909443274151698,3
"Site1_Local",0.907420792560081,3
"Site2_Local",0.908631818844718,3
"Site3_Local",0.910213036682149,3
"Meta",0.910070157375459,3
"GLORE",0.909443274151698,3
"fedavg",0.909637622841989,3
"Qfedavg",0.909862625728128,3
"fedavgM",0.909631402560124,3
"coef_fedprox_lr0.01_drop0_mu0",0.909231460911181,3
