"Model","AUPRC","Site"
"Central",0.912264591232533,1
"Site1_Local",0.930015240203036,1
"Site2_Local",0.911671027913489,1
"Site3_Local",0.913369139470539,1
"DAC",0.911636023619314,1
"Meta",0.916962849180623,1
"SHIR",0.914890559140408,1
"fedavg",0.925288041458687,1
"Qfedavg",0.947591310678517,1
"fedavgM",0.932139082515914,1
"coef_fedprox_lr0.01_drop0_mu0",0.90856951007862,1
"Central",0.901418901948339,2
"Site1_Local",0.896502177828002,2
"Site2_Local",0.908457459469097,2
"Site3_Local",0.902008409147322,2
"DAC",0.90384544467899,2
"Meta",0.905694531146782,2
"SHIR",0.900646235572051,2
"fedavg",0.906795075786843,2
"Qfedavg",0.911516644247308,2
"fedavgM",0.910458003951911,2
"coef_fedprox_lr0.01_drop0_mu0",0.898030405367719,2
"Central",0.911601201047765,3
"Site1_Local",0.901742841689255,3
"Site2_Local",0.907075170065641,3
"Site3_Local",0.915566107169807,3
"DAC",0.909428749606783,3
"Meta",0.913578705373128,3
"SHIR",0.908260376851177,3
"fedavg",0.914400370986876,3
"Qfedavg",0.909006119915512,3
"fedavgM",0.915915552577749,3
"coef_fedprox_lr0.01_drop0_mu0",0.90725917642735,3
