"vars","p.value","z","V2_better","site"
"Site1_Local","0.00401799298300222","-2.65055408567147",TRUE,1
"Site2_Local","0.537235629934498","0.0934718148562089",FALSE,1
"Site3_Local","0.135950220936934","-1.0986965638255",FALSE,1
"DAC","0.346588673574351","-0.39454684727248",FALSE,1
"Meta","0.0173406235794692","-2.11206065469298",TRUE,1
"SHIR","0.577569185853265","0.195678736727488",FALSE,1
"fedavg","0.00141074917335139","-2.98654443104346",TRUE,1
"Qfedavg","3.54805209664672e-08","-5.38872055323634",FALSE,1
"fedavgM","5.72749535246398e-05","-3.8575059171626",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.724166987603864","0.59526548285595",FALSE,1
"Site1_Local","0.951188179588172","1.65648499717929",FALSE,2
"Site2_Local","1.4683097968533e-08","-5.54517401965336",FALSE,2
"Site3_Local","0.940140683849633","1.55595567733942",FALSE,2
"DAC","0.149202193469754","-1.03986120866289",FALSE,2
"Meta","2.65490736758728e-05","-4.04155401192418",FALSE,2
"SHIR","0.998713091212464","3.01452528357848",FALSE,2
"fedavg","0.011601931741304","-2.27006130838633",TRUE,2
"Qfedavg","0.390849492763977","-0.277105647453071",FALSE,2
"fedavgM","0.0275333498153103","-1.91834958028145",TRUE,2
"coef_fedprox_lr0.01_drop0_mu0","0.652634204628743","0.392442091474809",FALSE,2
"Site1_Local","0.963810374958989","1.7967252390771",FALSE,3
"Site2_Local","0.940229991384341","1.55670720509099",FALSE,3
"Site3_Local","9.87938523431396e-07","-4.75587602506864",FALSE,3
"DAC","0.446901420838734","-0.133493832363484",FALSE,3
"Meta","0.000533831126036328","-3.27206182747426",TRUE,3
"SHIR","0.965613003366705","1.81990158662844",FALSE,3
"fedavg","0.0268270653916828","-1.92961845222497",TRUE,3
"Qfedavg","0.853518998951825","1.05164598382798",FALSE,3
"fedavgM","0.0265731230915918","-1.93373070807969",TRUE,3
"coef_fedprox_lr0.01_drop0_mu0","0.929248409729835","1.47021630333313",FALSE,3
