"","x"
"1",0.438723359707563
"2",-1.4881250251359
"3",0.699387524694884
"4",0.368337421894406
"5",0.1700877454662
"6",0.0385953285543256
"7",0.0284385291484702
"8",0
"9",0.0132903087907441
"10",0
"11",0
"12",-0.000248674903965145
"13",0
"14",2.46685088608573e-05
"15",0
"16",0
"17",0
"18",0
"19",-0.00347034844692926
"20",0
"21",0
"22",-0.00193427373729223
"23",0
"24",0.0229775488593745
"25",0
"26",0.0107034277054048
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.0341365707108041
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",-0.00211287939129132
"40",0
"41",0
"42",0
"43",0.00338841857211838
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",-0.0188184970211619
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0.0234099118560661
"59",0
"60",0.0473594436656406
"61",0
"62",0
"63",0
"64",0
"65",0
"66",-0.0084835311915408
"67",0
"68",0
"69",0
"70",0.00574377456904571
"71",-0.0202654360523779
"72",0
"73",0.0235302538292745
"74",0.00636211847800966
"75",0
"76",0
"77",0
"78",0.00132617235606758
"79",0
"80",0.0237660676609285
"81",-0.0104338862489276
"82",0
"83",0
"84",0.025523870856661
"85",0
"86",0
"87",-0.0189269342059361
"88",0
"89",0
"90",0
"91",0
"92",-0.011943836326832
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
