"Model","AUPRC","Site"
"Central",0.915946523208314,1
"Site1_Local",0.920194198503798,1
"Site2_Local",0.914567795420091,1
"Site3_Local",0.916857292969306,1
"Meta",0.917971114615314,1
"GLORE",0.915946523208314,1
"fedavg",0.916299279111012,1
"Qfedavg",0.917927811693255,1
"fedavgM",0.916299279111012,1
"coef_fedprox_lr0.01_drop0_mu0",0.915862911322693,1
"Central",0.926982208109113,2
"Site1_Local",0.926792698401165,2
"Site2_Local",0.930798982129015,2
"Site3_Local",0.928581620487622,2
"Meta",0.929670646318608,2
"GLORE",0.926982208109113,2
"fedavg",0.928203093977957,2
"Qfedavg",0.928912166654919,2
"fedavgM",0.928203093977957,2
"coef_fedprox_lr0.01_drop0_mu0",0.926839792659779,2
"Central",0.899947161418704,3
"Site1_Local",0.898552618185777,3
"Site2_Local",0.897411738841458,3
"Site3_Local",0.900743685127244,3
"Meta",0.900337065744078,3
"GLORE",0.899947161418704,3
"fedavg",0.900116966732972,3
"Qfedavg",0.900227717369747,3
"fedavgM",0.900116966732972,3
"coef_fedprox_lr0.01_drop0_mu0",0.89991588841628,3
