"Model","AUPRC","Site"
"Central",0.929508629864305,1
"Site1_Local",0.933901122641641,1
"Site2_Local",0.926331475990678,1
"Site3_Local",0.927641836289021,1
"Meta",0.929639136938259,1
"GLORE",0.929508629864305,1
"fedavg",0.92992166133734,1
"Qfedavg",0.930557701014657,1
"fedavgM",0.929214301854331,1
"coef_fedprox_lr0.01_drop0_mu0",0.929658780803829,1
"Central",0.904480937133901,2
"Site1_Local",0.896104058156134,2
"Site2_Local",0.903437452212165,2
"Site3_Local",0.902709302172013,2
"Meta",0.903534409680716,2
"GLORE",0.904480937133901,2
"fedavg",0.904146572753531,2
"Qfedavg",0.903437030735452,2
"fedavgM",0.904395430124792,2
"coef_fedprox_lr0.01_drop0_mu0",0.90423949116517,2
"Central",0.911448100635854,3
"Site1_Local",0.910003932011346,3
"Site2_Local",0.910778114505943,3
"Site3_Local",0.913350597847352,3
"Meta",0.913263134720885,3
"GLORE",0.911448100635854,3
"fedavg",0.912316818598394,3
"Qfedavg",0.912764173526251,3
"fedavgM",0.912087178901399,3
"coef_fedprox_lr0.01_drop0_mu0",0.911361282559292,3
