"Model","AUPRC","Site"
"Central",0.89772468422239,1
"Site1_Local",0.903829805455425,1
"Site2_Local",0.898285635772817,1
"Site3_Local",0.88932178558983,1
"Meta",0.8962695863365,1
"GLORE",0.89772468422239,1
"fedavg",0.897788346236342,1
"Qfedavg",0.898910653162297,1
"fedavgM",0.897788346236342,1
"coef_fedprox_lr0.01_drop0_mu0",0.897867390113201,1
"Central",0.910762531342275,2
"Site1_Local",0.912869779610325,2
"Site2_Local",0.914142551272226,2
"Site3_Local",0.909688528554515,2
"Meta",0.912612090838988,2
"GLORE",0.910762531342275,2
"fedavg",0.911755329266869,2
"Qfedavg",0.913452494835735,2
"fedavgM",0.911755329266869,2
"coef_fedprox_lr0.01_drop0_mu0",0.91096780763196,2
"Central",0.918348551711207,3
"Site1_Local",0.909862565948438,3
"Site2_Local",0.916849915119595,3
"Site3_Local",0.919689790067372,3
"Meta",0.919561520619196,3
"GLORE",0.918348551711207,3
"fedavg",0.919077445149218,3
"Qfedavg",0.918577917400921,3
"fedavgM",0.919064980278929,3
"coef_fedprox_lr0.01_drop0_mu0",0.918318266808001,3
