"vars","p.value","z","V2_better","site"
"Site1_Local","0.0864939863401231","-1.36266544569581",FALSE,1
"Site2_Local","0.390152273083929","-0.278922180544747",FALSE,1
"Site3_Local","0.984133079302791","2.14774722706229",FALSE,1
"Meta","0.568411815193127","0.172332201871283",FALSE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.347076438746907","-0.393225580996463",FALSE,1
"Qfedavg","0.0762099874855781","-1.43103573086679",FALSE,1
"fedavgM","0.347076438746907","-0.393225580996463",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.537187341621973","0.0933502447747353",FALSE,1
"Site1_Local","0.37165138882899","-0.327482763461138",FALSE,2
"Site2_Local","0.0468608354063711","-1.67608435471092",TRUE,2
"Site3_Local","0.425890690012191","-0.186845998928507",FALSE,2
"Meta","0.0516450732615757","-1.62910805409592",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.0103685444305244","-2.31273726471635",TRUE,2
"Qfedavg","0.00964027953923796","-2.3400616085106",TRUE,2
"fedavgM","0.0103685444305244","-2.31273726471635",TRUE,2
"coef_fedprox_lr0.01_drop0_mu0","0.0799482523015647","-1.40541972518347",FALSE,2
"Site1_Local","0.999966945530581","3.98987208066109",FALSE,3
"Site2_Local","0.667859351918563","0.434009839145524",FALSE,3
"Site3_Local","0.0620906692330114","-1.53745740373755",FALSE,3
"Meta","0.0516900332753207","-1.62868336275579",FALSE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.0110814471522841","-2.2875645159902",TRUE,3
"Qfedavg","0.456080681670278","-0.110312728057383",FALSE,3
"fedavgM","0.0114695953369165","-2.27444589493305",TRUE,3
"coef_fedprox_lr0.01_drop0_mu0","0.539882714890011","0.100138248243632",FALSE,3
