"","x"
"1",0.0452272156078742
"2",-1.76880318829144
"3",0.928725362213888
"4",0.722857098555902
"5",0.299087517668749
"6",0.145386849366453
"7",0.028154094375756
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0.0110016302027868
"16",0.0089480828606316
"17",0
"18",0
"19",0
"20",0
"21",0
"22",-0.010677531725181
"23",0.0187693784077856
"24",0
"25",0
"26",0
"27",-0.0202949991057967
"28",0
"29",-0.0371980292345097
"30",0
"31",-0.0428735907404469
"32",-0.0187140272632609
"33",0
"34",-0.0473861066413025
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0.000264686853445854
"41",0
"42",0
"43",0.0456168813384943
"44",0
"45",0
"46",0
"47",0.0489630093385037
"48",0
"49",0.0606144016570272
"50",-0.0120792714118603
"51",0
"52",0.0114278183541005
"53",0
"54",0
"55",0
"56",0
"57",0
"58",-0.01592534096015
"59",0.035563822154886
"60",0
"61",0
"62",0
"63",0
"64",0.0400426728241667
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",-0.0386451901149879
"74",0
"75",0.0621331747935788
"76",-0.00947619107885095
"77",0
"78",0
"79",-0.0117567141885832
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0.00210968890639352
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
