"vars","p.value","z","V2_better","site"
"Site1_Local","0.00112771507321372","-3.05435765996984",TRUE,1
"Site2_Local","0.708564363092136","0.549195526902523",FALSE,1
"Site3_Local","0.536506423992789","0.0916361206886299",FALSE,1
"DAC","0.328582471788602","-0.443830765289324",FALSE,1
"Meta","0.161822588543791","-0.986994821877572",FALSE,1
"SHIR","0.18907152822078","-0.881322934020086",FALSE,1
"fedavg","0.0130394338322677","-2.22503531248829",TRUE,1
"Qfedavg","2.73471610403371e-09","-5.83222126832389",FALSE,1
"fedavgM","9.077182477412e-05","-3.74340446027368",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.784038764358144","0.785906150038231",FALSE,1
"Site1_Local","0.999698187775495","3.42998058029134",FALSE,2
"Site2_Local","0.0179134559070542","-2.09888644750349",TRUE,2
"Site3_Local","0.995000475694776","2.57586220281491",FALSE,2
"DAC","0.754988139725143","0.690271096661482",FALSE,2
"Meta","0.899382065391876","1.27803845023276",FALSE,2
"SHIR","0.946139518585053","1.60852172143031",FALSE,2
"fedavg","0.0334938271647863","-1.83175685188528",TRUE,2
"Qfedavg","0.834364218303651","0.971555834458915",FALSE,2
"fedavgM","0.181642171320982","-0.909124630390545",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.686276656302744","0.485323783198637",FALSE,2
"Site1_Local","0.996994527872982","2.74718377680301",FALSE,3
"Site2_Local","0.975711306734267","1.9722823221229",FALSE,3
"Site3_Local","4.25234172351369e-05","-3.92971434727654",FALSE,3
"DAC","0.0449827921358854","-1.69557928106943",TRUE,3
"Meta","0.00295854857202429","-2.75234044984691",TRUE,3
"SHIR","0.112767775873854","-1.21193947036608",FALSE,3
"fedavg","0.99968408766752","3.41757162614905",FALSE,3
"Qfedavg","0.983732065292468","2.13776440373434",FALSE,3
"fedavgM","0.232083260040337","-0.732003354887944",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.999995372795616","4.4338987806314",FALSE,3
