"vars","p.value","z","V2_better","site"
"Site1_Local","0.0251641298761037","-1.95716340536816",TRUE,1
"Site2_Local","0.366967919422756","-0.339894685696628",FALSE,1
"Site3_Local","0.0167625593612439","-2.12573754708481",TRUE,1
"Meta","0.011452757282771","-2.27500692250283",TRUE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.0280511500094835","-1.91024014843851",TRUE,1
"Qfedavg","0.0134691952090178","-2.21240939360072",TRUE,1
"fedavgM","0.0280511500094835","-1.91024014843851",TRUE,1
"coef_fedprox_lr0.01_drop0_mu0","0.396716342094408","-0.261855713275633",FALSE,1
"Site1_Local","0.968674113725306","1.86165473653913",FALSE,2
"Site2_Local","0.0821429943673025","-1.39080031116751",FALSE,2
"Site3_Local","0.435340625637936","-0.162793214204981",FALSE,2
"Meta","0.123671040471392","-1.15682936736834",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.0448331489177528","-1.69716062089563",TRUE,2
"Qfedavg","0.0639475525844902","-1.52245503000579",FALSE,2
"fedavgM","0.0448331489177528","-1.69716062089563",TRUE,2
"coef_fedprox_lr0.01_drop0_mu0","0.38730376800574","-0.286353303755179",FALSE,2
"Site1_Local","0.998426467620612","2.95299557333946",FALSE,3
"Site2_Local","0.903093806528205","1.29938339616407",FALSE,3
"Site3_Local","0.216066669658852","-0.785546293045968",FALSE,3
"Meta","0.462680601212464","-0.0936827136026272",FALSE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.143774035939847","-1.06351587057676",FALSE,3
"Qfedavg","0.365563812755737","-0.343625924789745",FALSE,3
"fedavgM","0.143774035939847","-1.06351587057676",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.395868914226314","-0.264054623480673",FALSE,3
