"Model","AUPRC","Site"
"Central",0.944342413676185,1
"Site1_Local",0.947180163913862,1
"Site2_Local",0.939839576243533,1
"Site3_Local",0.943800569783701,1
"DAC",0.94453982899151,1
"Meta",0.945399778959497,1
"SHIR",0.941473175554668,1
"fedavg",0.955370992100094,1
"Qfedavg",0.970678952633219,1
"fedavgM",0.956060140542498,1
"coef_fedprox_lr0.01_drop0_mu0",0.938948510393315,1
"Central",0.906107955716683,2
"Site1_Local",0.898114470657678,2
"Site2_Local",0.907440829450835,2
"Site3_Local",0.89826244581563,2
"DAC",0.906174810947133,2
"Meta",0.902001944420496,2
"SHIR",0.90249111209347,2
"fedavg",0.907801436884699,2
"Qfedavg",0.908184587766923,2
"fedavgM",0.907646213263094,2
"coef_fedprox_lr0.01_drop0_mu0",0.902175585569666,2
"Central",0.914022936253505,3
"Site1_Local",0.906002215887251,3
"Site2_Local",0.908919326443163,3
"Site3_Local",0.924750652321861,3
"DAC",0.914882222747584,3
"Meta",0.920676615981031,3
"SHIR",0.910464878067828,3
"fedavg",0.915274385596612,3
"Qfedavg",0.907059228092007,3
"fedavgM",0.91452693587038,3
"coef_fedprox_lr0.01_drop0_mu0",0.907571850010247,3
