"Model","AUPRC","Site"
"Central",0.91511485723503,1
"Site1_Local",0.923008034819708,1
"Site2_Local",0.909987625264955,1
"Site3_Local",0.91257688156618,1
"Meta",0.913936254298299,1
"GLORE",0.91511485723503,1
"fedavg",0.915178737880691,1
"Qfedavg",0.916312311237916,1
"fedavgM",0.916441103614393,1
"coef_fedprox_lr0.01_drop0_mu0",0.915252413498877,1
"Central",0.908545967535942,2
"Site1_Local",0.900373280008426,2
"Site2_Local",0.909981899765718,2
"Site3_Local",0.909750497841734,2
"Meta",0.909922615334097,2
"GLORE",0.908545967535942,2
"fedavg",0.908912564094262,2
"Qfedavg",0.909128198389502,2
"fedavgM",0.909231874789341,2
"coef_fedprox_lr0.01_drop0_mu0",0.908195149536186,2
"Central",0.907388544292816,3
"Site1_Local",0.903481552523777,3
"Site2_Local",0.906618189740586,3
"Site3_Local",0.907952137302103,3
"Meta",0.908129799936875,3
"GLORE",0.907388544292816,3
"fedavg",0.907745640701737,3
"Qfedavg",0.90793212138517,3
"fedavgM",0.907931948505138,3
"coef_fedprox_lr0.01_drop0_mu0",0.907181632246908,3
