"","x"
"1",0.772027730770134
"2",-1.78730487447473
"3",0.666892185789928
"4",0.515549212853634
"5",0.212620411160958
"6",0.106405102255768
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0.0698395409891664
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",-0.169386100934366
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0.019596446754568
"32",-0.0514339631120927
"33",0
"34",-0.110918091176155
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",-0.0771561656663025
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0.0989601147386315
"58",0
"59",0
"60",0
"61",-0.023269375486087
"62",-0.0408503868670178
"63",0
"64",0
"65",-0.0406485869702946
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.00186459677391136
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",-0.0340541997911235
"84",0.0730288549147258
"85",0.0638358166396924
"86",0
"87",-0.022225488782413
"88",0
"89",0
"90",0
"91",0.0704113070234039
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
