"Model","AUPRC","Site"
"Central",0.900873406323389,1
"Site1_Local",0.904265061582845,1
"Site2_Local",0.899049983870221,1
"Site3_Local",0.899928022430701,1
"Meta",0.901455714715025,1
"GLORE",0.900873406323389,1
"fedavg",0.901254482698265,1
"Qfedavg",0.901703027871722,1
"fedavgM",0.900964319430372,1
"coef_fedprox_lr0.01_drop0_mu0",0.90098657117616,1
"Central",0.918044907465152,2
"Site1_Local",0.911044631284556,2
"Site2_Local",0.920888624097819,2
"Site3_Local",0.918266915399305,2
"Meta",0.918922341359019,2
"GLORE",0.918044907465152,2
"fedavg",0.918608060550352,2
"Qfedavg",0.918291217139,2
"fedavgM",0.918813683066886,2
"coef_fedprox_lr0.01_drop0_mu0",0.917924687338955,2
"Central",0.9211768132306,3
"Site1_Local",0.918683799594469,3
"Site2_Local",0.920270864734713,3
"Site3_Local",0.92615454729256,3
"Meta",0.925300132072693,3
"GLORE",0.9211768132306,3
"fedavg",0.922925937746557,3
"Qfedavg",0.922905220866067,3
"fedavgM",0.923532018199512,3
"coef_fedprox_lr0.01_drop0_mu0",0.920833343174657,3
