"Model","AUPRC","Site"
"Central",0.910197280672996,1
"Site1_Local",0.919136205947645,1
"Site2_Local",0.894803983523323,1
"Site3_Local",0.911200282243079,1
"Meta",0.911852644705568,1
"GLORE",0.910197280672996,1
"fedavg",0.910518099191533,1
"Qfedavg",0.912451709802425,1
"fedavgM",0.91090462428556,1
"coef_fedprox_lr0.01_drop0_mu0",0.910101571274381,1
"Central",0.925401484238113,2
"Site1_Local",0.910216114399856,2
"Site2_Local",0.932177759160058,2
"Site3_Local",0.917394657105631,2
"Meta",0.923619764667697,2
"GLORE",0.925401484238113,2
"fedavg",0.925412322196215,2
"Qfedavg",0.925016642938474,2
"fedavgM",0.925386039093152,2
"coef_fedprox_lr0.01_drop0_mu0",0.92540534196304,2
"Central",0.876520725596715,3
"Site1_Local",0.868623983035148,3
"Site2_Local",0.867976822272427,3
"Site3_Local",0.879524617386315,3
"Meta",0.878172599757848,3
"GLORE",0.876520725596715,3
"fedavg",0.876975136927142,3
"Qfedavg",0.87684740337302,3
"fedavgM",0.877022160522035,3
"coef_fedprox_lr0.01_drop0_mu0",0.876480782952517,3
