"vars","p.value","z","V2_better","site"
"Site1_Local","0.107142954351359","-1.24186626499486",FALSE,1
"Site2_Local","0.933051807891618","1.49891230314001",FALSE,1
"Site3_Local","0.791585490501948","0.811934844716345",FALSE,1
"Meta","0.610994281052563","0.281911413169857",FALSE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.474870015531791","-0.0630332452543955",FALSE,1
"Qfedavg","0.211920128103811","-0.799776577067283",FALSE,1
"fedavgM","0.55196192902104","0.130619720151874",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.558420636203226","0.146966163865647",FALSE,1
"Site1_Local","0.994582338921979","2.54796538574336",FALSE,2
"Site2_Local","0.124291153993805","-1.15379967371825",FALSE,2
"Site3_Local","0.965959035361719","1.82446416410148",FALSE,2
"Meta","0.523744738554335","0.0595544182074445",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.5","0",FALSE,2
"Qfedavg","0.425847331754074","-0.186956596901883",FALSE,2
"fedavgM","0.322801929768576","-0.459877906176562",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.708695347460803","0.549577339252239",FALSE,2
"Site1_Local","0.990270632629729","2.33662416670626",FALSE,3
"Site2_Local","0.954332692442288","1.68839924604326",FALSE,3
"Site3_Local","0.0535920606324749","-1.61097981839083",FALSE,3
"Meta","0.0478680126433619","-1.66588648843143",TRUE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.0298738042777732","-1.8826515267942",TRUE,3
"Qfedavg","0.47398500229566","-0.065256213462212",FALSE,3
"fedavgM","0.248881374120473","-0.678014107831579",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.852845990570027","1.0487178010889",FALSE,3
