"Model","AUPRC","Site"
"Central",0.931983584646115,1
"Site1_Local",0.962253166859367,1
"Site2_Local",0.927020875816403,1
"Site3_Local",0.927301513226227,1
"DAC",0.933151958369992,1
"Meta",0.936151731560431,1
"SHIR",0.932844936248557,1
"fedavg",0.937903339094157,1
"Qfedavg",0.963106028245057,1
"fedavgM",0.939889443172683,1
"coef_fedprox_lr0.01_drop0_mu0",0.92095185014284,1
"Central",0.909442065739511,2
"Site1_Local",0.893786152068706,2
"Site2_Local",0.92282035971956,2
"Site3_Local",0.909386127600358,2
"DAC",0.909363427288884,2
"Meta",0.913945373515175,2
"SHIR",0.906935527429383,2
"fedavg",0.914436032334882,2
"Qfedavg",0.913201661714874,2
"fedavgM",0.91389835714925,2
"coef_fedprox_lr0.01_drop0_mu0",0.90411943138891,2
"Central",0.911582183884309,3
"Site1_Local",0.891701016181465,3
"Site2_Local",0.904219691492931,3
"Site3_Local",0.917454760004428,3
"DAC",0.909955730298519,3
"Meta",0.913695311722918,3
"SHIR",0.907292258839158,3
"fedavg",0.916017059939087,3
"Qfedavg",0.904660552642329,3
"fedavgM",0.915795055711771,3
"coef_fedprox_lr0.01_drop0_mu0",0.909124843592156,3
