"","x"
"1",0.113428996578456
"2",-1.76413269450835
"3",0.881367374896094
"4",0.70691374459605
"5",0.240035106628788
"6",0.16985660618156
"7",0
"8",0.0214462795981202
"9",0
"10",0
"11",0
"12",0
"13",0.0338704386316609
"14",0
"15",-0.0734527827937722
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0.10130415100739
"24",0
"25",0
"26",-0.0075118805250813
"27",0
"28",0
"29",0
"30",0
"31",0
"32",-0.0779957561334906
"33",0
"34",0
"35",0.0944724186000703
"36",0
"37",0
"38",0
"39",0.0397266922497964
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",-0.0438976160883414
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",-0.00668616242131547
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",-0.000108208592892714
"74",-0.0757766108021422
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0.0253074283629129
"82",0.0330936708597923
"83",0
"84",0
"85",0
"86",0
"87",0.0155026915144294
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0.0664383204154889
"94",0
"95",0.0330054797650779
"96",0
"97",0
"98",-0.0380117493063946
"99",0
"100",0.0299150171270823
"101",0
