"Model","AUPRC","Site"
"Central",0.889755825677192,1
"Site1_Local",0.971828353216749,1
"Site2_Local",0.878370571635458,1
"Site3_Local",0.885899523627501,1
"DAC",0.891133738100872,1
"Meta",0.908055971844174,1
"SHIR",0.880951356268302,1
"fedavg",0.898408481271689,1
"Qfedavg",0.951787734681839,1
"fedavgM",0.898121370030523,1
"coef_fedprox_lr0.01_drop0_mu0",0.884702939863479,1
"Central",0.90429017790418,2
"Site1_Local",0.863030850107851,2
"Site2_Local",0.904659527707037,2
"Site3_Local",0.906491240535889,2
"DAC",0.906324425297961,2
"Meta",0.906184561036963,2
"SHIR",0.904815549474158,2
"fedavg",0.909142414821376,2
"Qfedavg",0.899821957910981,2
"fedavgM",0.909368059617225,2
"coef_fedprox_lr0.01_drop0_mu0",0.897418909813808,2
"Central",0.922102821113226,3
"Site1_Local",0.880406492687358,3
"Site2_Local",0.91693793028027,3
"Site3_Local",0.931114282548214,3
"DAC",0.924138049726424,3
"Meta",0.927053048027754,3
"SHIR",0.91875769827673,3
"fedavg",0.926418377768287,3
"Qfedavg",0.904684337515653,3
"fedavgM",0.926445307041367,3
"coef_fedprox_lr0.01_drop0_mu0",0.917705684433972,3
