"Model","AUPRC","Site"
"Central",0.939784935380827,1
"Site1_Local",0.975592206189596,1
"Site2_Local",0.942864172872349,1
"Site3_Local",0.928248498647016,1
"DAC",0.939129877157198,1
"Meta",0.947085968304069,1
"SHIR",0.941925411961323,1
"fedavg",0.947898508643017,1
"Qfedavg",0.974159298955646,1
"fedavgM",0.947413940286243,1
"coef_fedprox_lr0.01_drop0_mu0",0.936142223768798,1
"Central",0.89579293754088,2
"Site1_Local",0.881670036230635,2
"Site2_Local",0.912033714767901,2
"Site3_Local",0.894429177510775,2
"DAC",0.897115576865768,2
"Meta",0.902108727284675,2
"SHIR",0.894262586834263,2
"fedavg",0.897645522950767,2
"Qfedavg",0.894276470981673,2
"fedavgM",0.897587739657374,2
"coef_fedprox_lr0.01_drop0_mu0",0.886407763867615,2
"Central",0.906889807528519,3
"Site1_Local",0.874059441330614,3
"Site2_Local",0.894853319605498,3
"Site3_Local",0.913936524707276,3
"DAC",0.905981727749193,3
"Meta",0.907091450337097,3
"SHIR",0.90146173827572,3
"fedavg",0.907560464698185,3
"Qfedavg",0.887361238094437,3
"fedavgM",0.907866416000669,3
"coef_fedprox_lr0.01_drop0_mu0",0.901856955665831,3
