"Model","AUPRC","Site"
"Central",0.88259445638445,1
"Site1_Local",0.909974832256684,1
"Site2_Local",0.880797832029441,1
"Site3_Local",0.88611416579779,1
"DAC",0.883530147698682,1
"Meta",0.891580820402666,1
"SHIR",0.885734604619066,1
"fedavg",0.893052524439507,1
"Qfedavg",0.928025538283704,1
"fedavgM",0.892829983835075,1
"coef_fedprox_lr0.01_drop0_mu0",0.877114427456468,1
"Central",0.91958884894911,2
"Site1_Local",0.896242072871447,2
"Site2_Local",0.926152451497445,2
"Site3_Local",0.914585336092567,2
"DAC",0.919749572413657,2
"Meta",0.919129035355994,2
"SHIR",0.918948430504449,2
"fedavg",0.92150198466008,2
"Qfedavg",0.914060032631099,2
"fedavgM",0.921547927257992,2
"coef_fedprox_lr0.01_drop0_mu0",0.917656319593139,2
"Central",0.91080455694233,3
"Site1_Local",0.884891494824171,3
"Site2_Local",0.904219652991028,3
"Site3_Local",0.92357480840691,3
"DAC",0.911596808553725,3
"Meta",0.918940345148772,3
"SHIR",0.908377190335452,3
"fedavg",0.912257790828596,3
"Qfedavg",0.899732506399178,3
"fedavgM",0.912237357589108,3
"coef_fedprox_lr0.01_drop0_mu0",0.904297166747473,3
