"vars","p.value","z","V2_better","site"
"Site1_Local","0.384421063192495","-0.293889781875329",FALSE,1
"Site2_Local","0.685124877783874","0.482078412659632",FALSE,1
"Site3_Local","0.706052904265716","0.541890137310834",FALSE,1
"Meta","0.558731515617643","0.147753929913515",FALSE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.431335804514016","-0.172974325063308",FALSE,1
"Qfedavg","0.383099384275918","-0.297350712393636",FALSE,1
"fedavgM","0.5","0",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.5","0",FALSE,1
"Site1_Local","0.848710363985613","1.03091800598438",FALSE,2
"Site2_Local","0.12370018427744","-1.1566867414088",FALSE,2
"Site3_Local","0.56114114162639","0.153863052779725",FALSE,2
"Meta","0.1419324653612","-1.07167745439129",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.0759485231383429","-1.43286281331092",FALSE,2
"Qfedavg","0.11460437169024","-1.2023996018592",FALSE,2
"fedavgM","0.0779253157918932","-1.4191659802348",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.379284239874947","-0.307361170923608",FALSE,2
"Site1_Local","0.937753303596807","1.53618345433925",FALSE,3
"Site2_Local","0.678800229744349","0.464346462730288",FALSE,3
"Site3_Local","0.0198269482371596","-2.05733621085019",TRUE,3
"Meta","0.0188205927481318","-2.07874074845963",TRUE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.00169458730549387","-2.93004083667375",TRUE,3
"Qfedavg","0.0274436553022524","-1.91976720847282",TRUE,3
"fedavgM","0.00709105178586627","-2.45261754413424",TRUE,3
"coef_fedprox_lr0.01_drop0_mu0","0.204160614475163","-0.826851512177471",FALSE,3
