"vars","p.value","z","V2_better","site"
"Site1_Local","0.0147860180001443","-2.17577570742093",TRUE,1
"Site2_Local","0.661488481632898","0.416528883131007",FALSE,1
"Site3_Local","0.898357981803445","1.27225076342742",FALSE,1
"DAC","0.577618551255711","0.195804870847352",FALSE,1
"Meta","0.582261437340197","0.207682189332422",FALSE,1
"SHIR","0.893813697473103","1.24706789113155",FALSE,1
"fedavg","5.50359723051693e-09","-5.71443062041477",FALSE,1
"Qfedavg","9.23129725578676e-09","-5.62582266309091",FALSE,1
"fedavgM","5.10075708330841e-09","-5.72734405276105",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.659840124844461","0.412026840498743",FALSE,1
"Site1_Local","0.504215249942385","0.0105662613001787",FALSE,2
"Site2_Local","0.00106088975601488","-3.07263483821504",TRUE,2
"Site3_Local","0.223967769899435","-0.758861285881177",FALSE,2
"DAC","0.0162881633021625","-2.13726644273081",TRUE,2
"Meta","0.0370204390033704","-1.78636067851774",TRUE,2
"SHIR","0.201127983312357","-0.837598978711305",FALSE,2
"fedavg","0.0125696788853285","-2.23925455821915",TRUE,2
"Qfedavg","0.00391041776053005","-2.65970829024852",TRUE,2
"fedavgM","0.0163274856287924","-2.13629997095462",TRUE,2
"coef_fedprox_lr0.01_drop0_mu0","0.998784540931423","3.03181043533036",FALSE,2
"Site1_Local","0.915897619349137","1.37799522860255",FALSE,3
"Site2_Local","0.263957927542031","-0.631190680084284",FALSE,3
"Site3_Local","2.37487008854506e-06","-4.5755484529312",FALSE,3
"DAC","0.209583791429676","-0.807866248439134",FALSE,3
"Meta","0.000109299127537247","-3.69649303330898",TRUE,3
"SHIR","0.871999716049243","1.13589486438842",FALSE,3
"fedavg","0.85994541019017","1.0800741103975",FALSE,3
"Qfedavg","0.996764847834526","2.72294390397826",FALSE,3
"fedavgM","0.887776723677859","1.21478906467488",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.951414635899737","1.65872743618251",FALSE,3
