"Model","AUPRC","Site"
"Central",0.940267968500352,1
"Site1_Local",0.953435555150513,1
"Site2_Local",0.942061814454384,1
"Site3_Local",0.937862800457356,1
"DAC",0.942777155767267,1
"Meta",0.941901838581828,1
"SHIR",0.940280400298902,1
"fedavg",0.962016480999797,1
"Qfedavg",0.970751420862132,1
"fedavgM",0.962576896899931,1
"coef_fedprox_lr0.01_drop0_mu0",0.936319631804025,1
"Central",0.908903846025448,2
"Site1_Local",0.912250789555774,2
"Site2_Local",0.918771320295746,2
"Site3_Local",0.913713944764366,2
"DAC",0.914534790464662,2
"Meta",0.916403386965685,2
"SHIR",0.912777131514857,2
"fedavg",0.91836334026704,2
"Qfedavg",0.923096502748464,2
"fedavgM",0.9181585934298,2
"coef_fedprox_lr0.01_drop0_mu0",0.903216418713776,2
"Central",0.911129324421986,3
"Site1_Local",0.906902915829304,3
"Site2_Local",0.912653025167675,3
"Site3_Local",0.921645273782703,3
"DAC",0.912290021269617,3
"Meta",0.919054234721626,3
"SHIR",0.909773216577653,3
"fedavg",0.906075806931376,3
"Qfedavg",0.899335015453271,3
"fedavgM",0.905604225890335,3
"coef_fedprox_lr0.01_drop0_mu0",0.908034563297327,3
