"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-2.00329709,1.04650537,0.78795596,0.42078108,0.16778772,0.12655039,-0.09404744,-0.01476602,"FedProx (μ=0)",13
-2.217247227,1.519344247,1.04361464,0.331675422,0.269359664,0.087080129,0.099022518,-0.006482666,"Local1",14
-2.063399,1.10073548,0.9559226,0.23541142,0.30074991,0.10536072,-0.04647337,0.15450386,"Local2",14
-2.17304032,1.08052919,0.97390194,0.37925937,0.2057343,0.17317232,0.03397494,0.0591413,"Local3",14
-2.14802949910738,1.14899028405956,0.978723944628706,0.331362248430797,0.241970955778077,0.141498690902068,0.020282222955359,0.0770128923373214,"Meta",14
-1.976205640417,1.016411974891,0.774358430711,0.389522761183,0.202887902634,0.124142883669,-0.050264066537,0.037029672344,"GLORE",14
-1.9912201,1.03694523,0.82126558,0.36958555,0.20825242,0.12784799,-0.02445928,0.05021197,"FedAvg",14
-2.0161112,1.06929813,0.84853855,0.32814897,0.21733066,0.11866499,0.00296032,0.01715019,"q-FedAvg",14
-1.99139816,1.03703513,0.82135564,0.36963208,0.20838103,0.1277854,-0.02445173,0.05020108,"FedAvgM",14
-1.96035978,1.02679943,0.78344356,0.40639248,0.2113229,0.13227569,-0.04214858,0.05531731,"FedProx (μ=0)",14
-2.13379255,0.74629185,0.89889678,0.29280008,-0.00621099,-0.06962155,0.44439283,0.07477164,"Local1",15
-1.91290636,1.33034813,0.99113068,0.36629947,0.3248768,0.16302593,0.02464371,0.06959623,"Local2",15
-1.81827553,0.86252914,0.60097164,0.37639891,0.05139479,0.07807994,0.11447287,-0.14882864,"Local3",15
-1.89038677252457,0.979586384021312,0.755006386324563,0.361570668893133,0.121303111292108,0.0812500116140857,0.135938816044704,-0.0544786371727986,"Meta",15
-2.034660658709,1.019284990916,0.802544192023,0.327316942,0.149303283665,0.094191404101,-0.00293868742,-0.000711091953,"GLORE",15
-1.95802908,0.99349479,0.77313375,0.33228039,0.13793277,0.08726441,0.0384158,-0.01508153,"FedAvg",15
-1.94690906,0.95235097,0.80310987,0.33209653,0.13388453,0.05749623,0.08400047,0.0073203,"q-FedAvg",15
-1.91923913,0.96192143,0.78183941,0.36140836,0.13893673,0.04633162,0.07002884,0.00563233,"FedAvgM",15
