"Model","AUPRC","Site"
"Central",0.909109306916067,1
"Site1_Local",0.91652372890112,1
"Site2_Local",0.910677884152825,1
"Site3_Local",0.910841236306473,1
"Meta",0.911477013033248,1
"GLORE",0.909109306916067,1
"fedavg",0.909744378172871,1
"Qfedavg",0.910741754781646,1
"fedavgM",0.909744378172871,1
"coef_fedprox_lr0.01_drop0_mu0",0.908904873160854,1
"Central",0.918335285734697,2
"Site1_Local",0.916753042477505,2
"Site2_Local",0.9188809864223,2
"Site3_Local",0.917640941353208,2
"Meta",0.918289678948866,2
"GLORE",0.918335285734697,2
"fedavg",0.918709101085643,2
"Qfedavg",0.918964344494366,2
"fedavgM",0.918709101085643,2
"coef_fedprox_lr0.01_drop0_mu0",0.918319316068503,2
"Central",0.934352916380702,3
"Site1_Local",0.931527076305866,3
"Site2_Local",0.933954360928592,3
"Site3_Local",0.935794620314262,3
"Meta",0.935466280209326,3
"GLORE",0.934352916380702,3
"fedavg",0.934860480761004,3
"Qfedavg",0.934751388408095,3
"fedavgM",0.934860480761004,3
"coef_fedprox_lr0.01_drop0_mu0",0.934365949187049,3
