"vars","p.value","z","V2_better","site"
"Site1_Local","0.0657324163691215","-1.50835054695143",FALSE,1
"Site2_Local","0.152442887705206","-1.02601232321347",FALSE,1
"Site3_Local","0.39314219255792","-0.27113866435533",FALSE,1
"Meta","0.175114439285242","-0.934145433318039",FALSE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.163940463792","-0.978391101496061",FALSE,1
"Qfedavg","0.0324955806966238","-1.84531890919661",TRUE,1
"fedavgM","0.163940463792","-0.978391101496061",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.731276354554414","0.616677763715344",FALSE,1
"Site1_Local","0.670893623645572","0.442382068314658",FALSE,2
"Site2_Local","0.207213384489749","-0.816128283454513",FALSE,2
"Site3_Local","0.509725255303114","0.0243800148918451",FALSE,2
"Meta","0.263971882530195","-0.631147990160437",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.104625496445198","-1.25562767421496",FALSE,2
"Qfedavg","0.081864566925383","-1.3926385024135",FALSE,2
"fedavgM","0.104625496445198","-1.25562767421496",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.749999737659089","0.674488924644861",FALSE,2
"Site1_Local","0.974953463502315","1.9591683617808",FALSE,3
"Site2_Local","0.855130580197857","1.05869470611376",FALSE,3
"Site3_Local","0.0965120426733488","-1.30168501169855",FALSE,3
"Meta","0.19209967855808","-0.870184917254912",FALSE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.0690757960031706","-1.48270956585079",FALSE,3
"Qfedavg","0.330887754418851","-0.43746313081746",FALSE,3
"fedavgM","0.0690757960031706","-1.48270956585079",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.267970667380694","-0.618962087893465",FALSE,3
