"Model","AUPRC","Site"
"Central",0.924978067363552,1
"Site1_Local",0.926093092933529,1
"Site2_Local",0.921815599707781,1
"Site3_Local",0.92291568280341,1
"Meta",0.924242862111564,1
"GLORE",0.924978067363552,1
"fedavg",0.925084400236459,1
"Qfedavg",0.92518810649336,1
"fedavgM",0.925084400236459,1
"coef_fedprox_lr0.01_drop0_mu0",0.924881047023426,1
"Central",0.903181134227684,2
"Site1_Local",0.903838362073122,2
"Site2_Local",0.906603806270487,2
"Site3_Local",0.90165934733096,2
"Meta",0.905027866115137,2
"GLORE",0.903181134227684,2
"fedavg",0.903784127625986,2
"Qfedavg",0.904350747700514,2
"fedavgM",0.903784127625986,2
"coef_fedprox_lr0.01_drop0_mu0",0.903184890735785,2
"Central",0.910916118704242,3
"Site1_Local",0.910813288983494,3
"Site2_Local",0.910815158281214,3
"Site3_Local",0.913312769512945,3
"Meta",0.913598574181923,3
"GLORE",0.910916118704242,3
"fedavg",0.912110570260894,3
"Qfedavg",0.912025936729788,3
"fedavgM",0.912110570260894,3
"coef_fedprox_lr0.01_drop0_mu0",0.910929828866274,3
