"","x"
"1",0.382705804662601
"2",-1.74230803761263
"3",0.914056446130367
"4",0.721262323177661
"5",0.225968688405873
"6",0.0323771401377999
"7",0
"8",0
"9",0.0724361675518385
"10",0
"11",0
"12",-0.0168924689714761
"13",-0.0277349421606012
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",-0.0432703397793511
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",-0.0132538577972517
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",-0.0200062222723346
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",-0.00739382871034353
"49",0.0796283782012763
"50",-0.0112697364024862
"51",0
"52",0
"53",0
"54",0
"55",0
"56",-0.0264181212054749
"57",0
"58",0
"59",0
"60",-0.102731146776049
"61",0
"62",0
"63",0.00972390286518023
"64",0.0247414202016348
"65",0
"66",-0.065509009744841
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0.00171528030139286
"84",-0.0192425097811592
"85",0
"86",0
"87",0
"88",0
"89",0.0476250048602113
"90",0.121924909986412
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0.00952363630730814
"97",0
"98",0
"99",-0.13248566871525
"100",0.0386940796660614
"101",0
