"Model","AUPRC","Site"
"Central",0.907811384785561,1
"Site1_Local",0.915321440335282,1
"Site2_Local",0.909248013597824,1
"Site3_Local",0.902950351812514,1
"Meta",0.908958174386035,1
"GLORE",0.907811384785561,1
"fedavg",0.90812933102054,1
"Qfedavg",0.91009385521782,1
"fedavgM",0.908081460862717,1
"coef_fedprox_lr0.01_drop0_mu0",0.908224095720475,1
"Central",0.910586737836416,2
"Site1_Local",0.903321792614729,2
"Site2_Local",0.913017559247487,2
"Site3_Local",0.912700795591898,2
"Meta",0.912615340563971,2
"GLORE",0.910586737836416,2
"fedavg",0.911478861787628,2
"Qfedavg",0.911297367271129,2
"fedavgM",0.911487544303828,2
"coef_fedprox_lr0.01_drop0_mu0",0.910300186541378,2
"Central",0.912358445103068,3
"Site1_Local",0.897618924662556,3
"Site2_Local",0.910981681947032,3
"Site3_Local",0.914936362837517,3
"Meta",0.912970941132851,3
"GLORE",0.912358445103068,3
"fedavg",0.912988452653628,3
"Qfedavg",0.911882382172054,3
"fedavgM",0.912986582999542,3
"coef_fedprox_lr0.01_drop0_mu0",0.912154428388111,3
