"","x"
"1",0.486540480359798
"2",-1.64477174305359
"3",0.864088349522878
"4",0.588343539889913
"5",0.331062715204802
"6",0.144645641709283
"7",0
"8",-0.0227794484348179
"9",-0.00232730101648289
"10",0.0153881513176856
"11",0
"12",0
"13",0
"14",0
"15",0.0138361562332193
"16",-0.0222486822297658
"17",0
"18",-0.00720203143430323
"19",-0.00785925212661033
"20",0
"21",0.00339791205401093
"22",0.0348161908258297
"23",0.00739002155465756
"24",-0.00994514372498155
"25",0
"26",-0.0122949806705584
"27",0
"28",-0.0201600936709683
"29",-0.0034312335067126
"30",0
"31",-0.00123834834812178
"32",-0.0247419511976924
"33",-0.017088308742476
"34",0
"35",0
"36",-0.0425756051401431
"37",-0.0112586313149761
"38",-0.00710358462628569
"39",0
"40",0
"41",0
"42",-0.0060969504609637
"43",-0.00724231001490194
"44",0.016654276834198
"45",0.00888263564760107
"46",0
"47",0.00995423165981986
"48",0.0132697081760287
"49",-0.0319079268442043
"50",0.0223955417928665
"51",0
"52",-0.0186796719245324
"53",0
"54",-0.0131658011285415
"55",0
"56",0
"57",-0.025638231499187
"58",0.0101783559887886
"59",0
"60",0
"61",0
"62",0.00016692588615495
"63",-0.00851806630929934
"64",-0.00111667545005142
"65",-0.0567785232708527
"66",0.0129889353736776
"67",0
"68",0.0158966784738266
"69",-0.018595544146887
"70",0
"71",-0.014861516494927
"72",0
"73",0
"74",0
"75",0.0392117147784407
"76",-0.00240751015572932
"77",0.0312702766896513
"78",0
"79",0
"80",-0.0248990309417304
"81",-0.0195869698640649
"82",0
"83",0.0152303098012674
"84",0.0325161653755786
"85",-0.0190950019341632
"86",-0.0288396247775353
"87",0.022017153698719
"88",-0.0320723296969903
"89",-0.0725250688102507
"90",0.00546044568832109
"91",0
"92",0
"93",0.00669395039941707
"94",0.0380957363031326
"95",0.0177926672705176
"96",0.013397819744946
"97",0
"98",0.0038930900452523
"99",0
"100",0.00193423975177943
"101",0
