"Model","AUPRC","Site"
"Central",0.923284855168102,1
"Site1_Local",0.926226752338892,1
"Site2_Local",0.920355430215786,1
"Site3_Local",0.920206409835231,1
"Meta",0.923130258117501,1
"GLORE",0.923284855168102,1
"fedavg",0.923245415896045,1
"Qfedavg",0.924555734268514,1
"fedavgM",0.923245415896045,1
"coef_fedprox_lr0.01_drop0_mu0",0.923189231032876,1
"Central",0.924991887022494,2
"Site1_Local",0.916619706780687,2
"Site2_Local",0.926654727480537,2
"Site3_Local",0.921991206480168,2
"Meta",0.92446721794267,2
"GLORE",0.924991887022494,2
"fedavg",0.924860371136845,2
"Qfedavg",0.923773431879408,2
"fedavgM",0.924863786422289,2
"coef_fedprox_lr0.01_drop0_mu0",0.925166081816626,2
"Central",0.914861760120194,3
"Site1_Local",0.907962297023947,3
"Site2_Local",0.912433447541392,3
"Site3_Local",0.917047031231954,3
"Meta",0.915963182469353,3
"GLORE",0.914861760120194,3
"fedavg",0.915388790211518,3
"Qfedavg",0.914080019798982,3
"fedavgM",0.915389355459088,3
"coef_fedprox_lr0.01_drop0_mu0",0.915024915688025,3
