"Model","AUPRC","Site"
"Central",0.906606471915575,1
"Site1_Local",0.908936143140785,1
"Site2_Local",0.902902236687596,1
"Site3_Local",0.906745970941092,1
"Meta",0.90701704770292,1
"GLORE",0.906606471915575,1
"fedavg",0.906691458039422,1
"Qfedavg",0.907022719161056,1
"fedavgM",0.906184743063512,1
"coef_fedprox_lr0.01_drop0_mu0",0.906551254398459,1
"Central",0.919298606613979,2
"Site1_Local",0.915485316729045,2
"Site2_Local",0.923540806438206,2
"Site3_Local",0.91813940607187,2
"Meta",0.920517885896005,2
"GLORE",0.919298606613979,2
"fedavg",0.920115062305333,2
"Qfedavg",0.920510284868951,2
"fedavgM",0.920267470148179,2
"coef_fedprox_lr0.01_drop0_mu0",0.919185966104543,2
"Central",0.906840614328502,3
"Site1_Local",0.905232835417738,3
"Site2_Local",0.904046529037904,3
"Site3_Local",0.908174874692838,3
"Meta",0.907900919896589,3
"GLORE",0.906840614328502,3
"fedavg",0.907223957068077,3
"Qfedavg",0.907307519485439,3
"fedavgM",0.907205813393108,3
"coef_fedprox_lr0.01_drop0_mu0",0.906810663113404,3
