"Model","AUPRC","Site"
"Central",0.926217877027624,1
"Site1_Local",0.933251591675507,1
"Site2_Local",0.926362932998432,1
"Site3_Local",0.925612825220996,1
"Meta",0.92836466898908,1
"GLORE",0.926217877027624,1
"fedavg",0.927054021014341,1
"Qfedavg",0.929006547397992,1
"fedavgM",0.927040010092614,1
"coef_fedprox_lr0.01_drop0_mu0",0.926172007663913,1
"Central",0.908366203655142,2
"Site1_Local",0.90119517265927,2
"Site2_Local",0.911931066188933,2
"Site3_Local",0.906982024376296,2
"Meta",0.909131641976455,2
"GLORE",0.908366203655142,2
"fedavg",0.908786052270921,2
"Qfedavg",0.909149074147824,2
"fedavgM",0.908746770068324,2
"coef_fedprox_lr0.01_drop0_mu0",0.908382669144169,2
"Central",0.906339795964693,3
"Site1_Local",0.901694389959365,3
"Site2_Local",0.905202842097762,3
"Site3_Local",0.909258068532626,3
"Meta",0.90853559920973,3
"GLORE",0.906339795964693,3
"fedavg",0.907325384858421,3
"Qfedavg",0.90749090585741,3
"fedavgM",0.907342083392957,3
"coef_fedprox_lr0.01_drop0_mu0",0.905854692712346,3
