"","x"
"1",0.100381651489912
"2",-1.85244750590317
"3",0.934041653195326
"4",0.698240402920672
"5",0.298184505804353
"6",0.18757920283906
"7",0.124034088907278
"8",0
"9",0
"10",-0.0341053458726675
"11",0
"12",0
"13",0
"14",0.00980456580185026
"15",-0.0214104543526807
"16",0
"17",0
"18",0.0586023636347805
"19",-0.037823749477365
"20",0
"21",0
"22",0
"23",-0.0160713452112598
"24",-0.0170608187694977
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",-0.0262238066110201
"34",0
"35",0
"36",0
"37",0.00913456565414138
"38",0
"39",-0.0099842534805365
"40",0
"41",0.0215129960515999
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0.00600069937526897
"48",0
"49",0
"50",0
"51",0
"52",0.00457777946200375
"53",0
"54",0
"55",0.0456891973175416
"56",-0.0427019860216723
"57",0
"58",0
"59",0
"60",0
"61",0
"62",-0.00367669761823368
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0.00155964863701061
"70",0
"71",0.0465842486688297
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0.00591552453585833
"79",0
"80",0
"81",0
"82",-0.0143438562771492
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0.0531783982961569
"92",0
"93",0
"94",0
"95",0
"96",0.00521746018639005
"97",0
"98",0.00568479733537557
"99",0.0013790465051807
"100",0
"101",0
