"","x"
"1",0.210903266629641
"2",-1.83381538924996
"3",0.888517927935415
"4",0.726272736110092
"5",0.320711422959353
"6",0.0655655528638034
"7",0.0854276839040499
"8",0
"9",-0.0168882914133734
"10",0
"11",0
"12",-0.0259187315942542
"13",0
"14",0
"15",0
"16",0.00580565449855259
"17",-0.0111940411134455
"18",0
"19",-0.00708917306638952
"20",0
"21",0
"22",0
"23",0.0361893636671708
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0.00741933231451018
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",-0.0445608597315629
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.0390903708337936
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.00456557606642518
"68",0
"69",-0.00190774764093708
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",-0.0127275318770526
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",-0.00985620705508028
"93",0.000740107438837728
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
