"","x"
"1",-0.0885869798644003
"2",-1.696492954777
"3",0.865270308625308
"4",0.675966842805822
"5",0.338558780252154
"6",0.0130500628094077
"7",0
"8",0
"9",0
"10",-0.0404973421655015
"11",0.0387003274778821
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",-0.0124282706487562
"20",-0.0444919028516832
"21",-0.00918185002651449
"22",0
"23",0
"24",0
"25",0
"26",-0.0222232955245352
"27",0
"28",0
"29",0
"30",-0.0431381851343218
"31",0
"32",0
"33",0
"34",-0.0858284620893172
"35",0
"36",0.0202271288602521
"37",0.0782388537654982
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",-0.0897473939013633
"45",0.0966529217307674
"46",0.102345577069952
"47",-0.0294881594388531
"48",0
"49",0
"50",0
"51",0
"52",0
"53",-0.0439110553611236
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.0727274864449256
"60",0
"61",0.0336565535086162
"62",0
"63",0.0795257695663262
"64",0.00978732743699222
"65",0
"66",0
"67",0
"68",-0.0138485849901909
"69",0.0361443044439579
"70",0
"71",0
"72",0
"73",0
"74",-0.0311646453906747
"75",0
"76",0
"77",0
"78",0
"79",0.0374266013797109
"80",0
"81",0.0874382160543292
"82",0
"83",0
"84",-0.0200186017095831
"85",0
"86",-0.0166555831916069
"87",0
"88",0
"89",0.0826808568163356
"90",0
"91",0
"92",-0.00605810579321405
"93",0
"94",0
"95",0.013929344770731
"96",0.0660529062448654
"97",0
"98",0
"99",0
"100",0
"101",0
