"Model","AUPRC","Site"
"Central",0.93180329642471,1
"Site1_Local",0.936049719646882,1
"Site2_Local",0.928266378878966,1
"Site3_Local",0.933958784238152,1
"Meta",0.933524055981924,1
"GLORE",0.93180329642471,1
"fedavg",0.932249573002684,1
"Qfedavg",0.93276946335511,1
"fedavgM",0.932489623248175,1
"coef_fedprox_lr0.01_drop0_mu0",0.931974651176692,1
"Central",0.911901747188138,2
"Site1_Local",0.906316901732908,2
"Site2_Local",0.916559089095664,2
"Site3_Local",0.90991028576554,2
"Meta",0.913565787052934,2
"GLORE",0.911901747188138,2
"fedavg",0.912242128482114,2
"Qfedavg",0.912757598459425,2
"fedavgM",0.913081486784037,2
"coef_fedprox_lr0.01_drop0_mu0",0.911959371790364,2
"Central",0.911613156706655,3
"Site1_Local",0.908904744070267,3
"Site2_Local",0.907296204501494,3
"Site3_Local",0.912998905689836,3
"Meta",0.912050503859573,3
"GLORE",0.911613156706655,3
"fedavg",0.911844250785834,3
"Qfedavg",0.911601270002639,3
"fedavgM",0.911891119414672,3
"coef_fedprox_lr0.01_drop0_mu0",0.911539683609296,3
