"vars","p.value","z","V2_better","site"
"Site1_Local","4.5685280267932e-05","-3.91243387787836",FALSE,1
"Site2_Local","0.928271791876024","1.46304006502799",FALSE,1
"Site3_Local","0.554483102927967","0.136996205831241",FALSE,1
"DAC","0.323381005376303","-0.458265077290292",FALSE,1
"Meta","0.0275438841096761","-1.91818333775929",TRUE,1
"SHIR","0.662485232406209","0.419255335265098",FALSE,1
"fedavg","0.0441115322845507","-1.70484645672617",TRUE,1
"Qfedavg","6.11479303956076e-07","-4.85188122399945",FALSE,1
"fedavgM","0.0545979776236702","-1.60181757604138",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.970787182353298","1.89249067220114",FALSE,1
"Site1_Local","0.999699686733792","3.43133132078894",FALSE,2
"Site2_Local","1.65705659335486e-07","-5.1046477136632",FALSE,2
"Site3_Local","0.702248825525485","0.530879406924113",FALSE,2
"DAC","0.630593216577638","0.333424904140713",FALSE,2
"Meta","4.91566030632546e-05","-3.89471758804822",FALSE,2
"SHIR","0.988742930579352","2.28158016535531",FALSE,2
"fedavg","0.0141409091606571","-2.19335490983297",TRUE,2
"Qfedavg","0.13331396082021","-1.11086161131343",FALSE,2
"fedavgM","0.00729949884665585","-2.44217673509228",TRUE,2
"coef_fedprox_lr0.01_drop0_mu0","0.945659749266859","1.60415222994218",FALSE,2
"Site1_Local","0.999999994766702","5.72298912699535",FALSE,3
"Site2_Local","0.999329880546299","3.20722121813402",FALSE,3
"Site3_Local","2.64826475461074e-05","-4.042141314295",FALSE,3
"DAC","0.623656771154052","0.315099039602397",FALSE,3
"Meta","0.168265743902795","-0.961041130097966",FALSE,3
"SHIR","0.998946695474954","3.07477571781379",FALSE,3
"fedavg","0.0805222105644556","-1.40156755553431",FALSE,3
"Qfedavg","0.998786050778339","3.03218563291897",FALSE,3
"fedavgM","0.0771910427655105","-1.42422245889085",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.989925618202623","2.32356605365458",FALSE,3
