"","x"
"1",0.240653962724942
"2",-1.53981346653836
"3",0.683510576375466
"4",0.60588027737653
"5",0.246351711360561
"6",0.11918770697375
"7",0.0597665494406335
"8",0
"9",0
"10",0
"11",0.0656925130161359
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0.0245112598500466
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0.0105645180172378
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.0417901920911593
"60",-0.0834537644940204
"61",0
"62",0
"63",0
"64",0.0182846160694296
"65",-0.0281798159875777
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0.00770010220593439
"78",0
"79",0
"80",-0.0198955935961766
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",-0.00772806651727584
"100",0
"101",0
