"","x"
"1",0.0974483018968603
"2",-1.74378144164655
"3",0.655971902089428
"4",0.695789115070416
"5",0.371706459409571
"6",0.201890540516644
"7",0.0147018603491286
"8",0
"9",0
"10",0.0525117321338297
"11",0
"12",0
"13",0
"14",0.0611081548913445
"15",0.00196428925040843
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.00348830094487778
"27",0
"28",0.0502780594350801
"29",0
"30",0.0520304576275607
"31",0
"32",0
"33",0
"34",0
"35",0.0402965165654789
"36",0
"37",0
"38",0
"39",0
"40",0
"41",-0.0602486657057425
"42",0
"43",0
"44",-0.0145571634511749
"45",0
"46",0
"47",0
"48",0.0330087214829257
"49",0
"50",0
"51",0
"52",0.0476082725250162
"53",0
"54",0
"55",0
"56",0
"57",0.0415422116860995
"58",0
"59",-0.0686689056595746
"60",0
"61",0
"62",0
"63",0.0200493148598323
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",-0.0467555189704168
"74",0
"75",0
"76",0
"77",0
"78",-0.0023370020681587
"79",-0.0767707563068253
"80",0
"81",0
"82",0
"83",-0.0418654778446275
"84",0
"85",0
"86",0
"87",0
"88",0.0375416577634893
"89",0
"90",0
"91",0.0131715167034345
"92",0
"93",0
"94",0
"95",0
"96",0.0258542328656369
"97",0
"98",0.0254452086623451
"99",-0.0557548777355645
"100",0
"101",0.018614884211474
