"Model","AUPRC","Site"
"Central",0.91006814993417,1
"Site1_Local",0.913162345415352,1
"Site2_Local",0.910468854750703,1
"Site3_Local",0.9053301647969,1
"Meta",0.909444671274205,1
"GLORE",0.91006814993417,1
"fedavg",0.90983044461735,1
"Qfedavg",0.909898346627475,1
"fedavgM",0.90983044461735,1
"coef_fedprox_lr0.01_drop0_mu0",0.910613388414211,1
"Central",0.917877314780295,2
"Site1_Local",0.913885271229595,2
"Site2_Local",0.919393513973666,2
"Site3_Local",0.915830831451173,2
"Meta",0.919056528092849,2
"GLORE",0.917877314780295,2
"fedavg",0.918181885661612,2
"Qfedavg",0.918593840533695,2
"fedavgM",0.91817158143882,2
"coef_fedprox_lr0.01_drop0_mu0",0.917794717730024,2
"Central",0.913167246956128,3
"Site1_Local",0.907376788710101,3
"Site2_Local",0.909977221333239,3
"Site3_Local",0.913617215438273,3
"Meta",0.913293542842896,3
"GLORE",0.913167246956128,3
"fedavg",0.913333453089788,3
"Qfedavg",0.913331461074178,3
"fedavgM",0.913333926919862,3
"coef_fedprox_lr0.01_drop0_mu0",0.913183696485046,3
