"Central","Local1","Local2","Local3","Meta","GLORE","FedAvg","q-FedAvg","FedAvgM","FedProx (mu=0)","Site_index","seed"
0.91598594224924,0.918598024316109,0.912566489361702,0.914561170212766,0.916270896656535,0.91598594224924,0.916365881458967,0.917173252279635,0.916365881458967,0.915700987841945,1,"1"
0.903914428246898,0.902738615737623,0.907327709220425,0.903514880306853,0.905444126074499,0.903914428246898,0.904747771093277,0.905261475587621,0.904747771093277,0.904176988321785,2,"1"
0.898716517857143,0.89649283008658,0.897794913419913,0.901701163419913,0.901129035894661,0.898716517857143,0.900179247835498,0.900322984307359,0.900176429473304,0.898482593795094,3,"1"
0.906433284457478,0.911198680351906,0.904508797653959,0.901301319648094,0.904737903225806,0.906433284457478,0.905975073313783,0.907120601173021,0.905883431085044,0.906479105571848,1,"10"
0.887634597312017,0.885517272614047,0.89225421483486,0.886740112546564,0.8898877931136,0.887634597312017,0.888744211324856,0.889650018682277,0.889899115705567,0.887623274720049,2,"10"
0.891633698975005,0.88579785560151,0.888267622729725,0.892878416651681,0.89240075975544,0.891633698975005,0.892013014745549,0.891996156266858,0.892060780435174,0.89164212821435,3,"10"
0.88798871239361,0.892312593873743,0.8845751217514,0.886395703427245,0.888716945063948,0.88798871239361,0.887897683309817,0.888853488689636,0.887897683309817,0.887852168767921,1,"11"
0.871470958460709,0.870965204099982,0.877146646286639,0.867649703290775,0.872302643409459,0.871470958460709,0.872246448480489,0.873201762272973,0.872235209494695,0.871426002517533,2,"11"
0.909076670729346,0.907658529917645,0.901954642275404,0.911685138567735,0.911064346003577,0.909076670729346,0.910158786208153,0.909740178378194,0.910158786208153,0.909090909090909,3,"11"
0.903848769209846,0.916496668026656,0.887392900856793,0.892288861689106,0.899950133732263,0.903848769209846,0.902579446031098,0.904619429711229,0.902579446031098,0.903667437327168,1,"12"
0.880627376645592,0.864942960505785,0.887504478785007,0.879772073186237,0.882858100532831,0.880627376645592,0.881586703498654,0.882025913383187,0.881575145343797,0.880349980929044,2,"12"
0.895158738231671,0.879937612314787,0.892629889578318,0.897998395099402,0.896814498355542,0.895158738231671,0.895978141705941,0.895164389290114,0.895972490647498,0.895065495767357,3,"12"
0.920915295062224,0.928899594094295,0.920469244836969,0.923591596413756,0.925821847540033,0.920915295062224,0.922565680895669,0.924617511931843,0.922565680895669,0.920781479994647,1,"13"
0.902046783625731,0.899304138900222,0.907690738474092,0.901162790697674,0.904313432159209,0.902046783625731,0.903044108980462,0.904098100548529,0.903032775737794,0.901820118772383,2,"13"
0.89161080008504,0.884663028842747,0.887647934235703,0.892642619233222,0.891976472255687,0.89161080008504,0.89201615760754,0.891707178796683,0.892007653603572,0.891664658776841,3,"13"
0.900194027731768,0.907339927121291,0.901045856798069,0.898679664947234,0.90203965737542,0.900194027731768,0.901093180635086,0.902134305049453,0.901045856798069,0.900903885287019,1,"14"
0.893002232142857,0.891328125,0.896484375,0.894441964285714,0.895848214285714,0.893002232142857,0.894029017857143,0.894508928571429,0.894029017857143,0.893158482142857,2,"14"
0.902195088451048,0.898001687451472,0.900574910792121,0.903052829564598,0.902438956022548,0.902195088451048,0.902394106813996,0.902326833001169,0.902394106813996,0.902200694602117,3,"14"
0.880979472941605,0.893495971963042,0.867780255791725,0.881116016567293,0.883619316371581,0.880979472941605,0.881889763779528,0.88480269446088,0.883346229120204,0.880888443857813,1,"15"
0.902581018518519,0.883368055555556,0.907025462962963,0.895856481481481,0.901342592592593,0.902581018518519,0.902696759259259,0.901608796296296,0.902222222222222,0.902696759259259,2,"15"
0.863177106187691,0.855015917113622,0.853176854644192,0.866033522363615,0.865004988946061,0.863177106187691,0.86376404101836,0.863523677230562,0.863523677230562,0.863124002560154,3,"15"
0.913005714285714,0.918674285714286,0.910582857142857,0.90848,0.913051428571429,0.913005714285714,0.913005714285714,0.915611428571429,0.913005714285714,0.912822857142857,1,"16"
0.900245628596104,0.891272894491863,0.902073823169843,0.896421000684171,0.899426866609092,0.900245628596104,0.900021310243498,0.898866070727577,0.900021310243498,0.900436299195819,2,"16"
0.892941640938539,0.885954572695333,0.88972929370965,0.895077525214511,0.89414023557213,0.892941640938539,0.893563660428483,0.89237074633818,0.893566500700127,0.893052411532639,3,"16"
0.890230810520666,0.898684916800859,0.893317230273752,0.89112542494185,0.892914653784219,0.890230810520666,0.891259617105028,0.89286992306316,0.891259617105028,0.890051887636429,1,"17"
0.884131712235886,0.882358395438056,0.885893438727848,0.884085351012413,0.885279152516835,0.884131712235886,0.884885082117317,0.885441416798989,0.884885082117317,0.884027399483072,2,"17"
0.90361089187056,0.898387808161939,0.902046868471145,0.905526022563722,0.904754166860114,0.90361089187056,0.904272482473652,0.903895259761363,0.904272482473652,0.903660220994475,3,"17"
0.905036679191269,0.907765253175881,0.89573268921095,0.902844873859367,0.903873680443729,0.905036679191269,0.904499910538558,0.904589371980676,0.90494721774915,0.90494721774915,1,"18"
0.89696089664326,0.892060214858595,0.902417442797019,0.894964322582841,0.89806128121065,0.89696089664326,0.897460040158365,0.897040305838845,0.897675579403523,0.897210468400812,2,"18"
0.901444692460317,0.898947623556999,0.896332183441558,0.903152619949495,0.902107007575758,0.901444692460317,0.901895630411255,0.901653251262626,0.901399598665224,0.901692708333333,3,"18"
0.89579508306838,0.899243204513904,0.893421700774708,0.898347588554028,0.898795396533966,0.89579508306838,0.897496753392145,0.898616273341991,0.897586314988133,0.896198110250325,1,"19"
