"","x"
"1",0.342712074639432
"2",-1.86719872584419
"3",0.899173812723519
"4",0.673080665241288
"5",0.301024493094734
"6",0.118604173990001
"7",0.0335709406291572
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",-0.049688843365697
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0.00860592094895486
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0.018863042116469
"56",0
"57",0
"58",0.0159904111592456
"59",0
"60",0
"61",0
"62",0
"63",0.00968940528592691
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",-0.0369170425112801
"73",0
"74",0
"75",0
"76",-0.0214025039830188
"77",0
"78",0
"79",0
"80",0
"81",0
"82",-0.000552331231194005
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0.0173222447944054
"90",0
"91",0
"92",-0.00727153090113997
"93",0.0110611782748218
"94",0.0323890085245307
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",-0.00647968325971887
