"Model","AUPRC","Site"
"Central",0.915366935675122,1
"Site1_Local",0.950262407222964,1
"Site2_Local",0.918107312815534,1
"Site3_Local",0.907650095496428,1
"DAC",0.916400353099471,1
"Meta",0.920217613871588,1
"SHIR",0.912141650176868,1
"fedavg",0.929420940212961,1
"Qfedavg",0.950039382240233,1
"fedavgM",0.929385539839868,1
"coef_fedprox_lr0.01_drop0_mu0",0.915933313213182,1
"Central",0.904639477967801,2
"Site1_Local",0.890915910675179,2
"Site2_Local",0.919560774742682,2
"Site3_Local",0.889782122816987,2
"DAC",0.904086721115817,2
"Meta",0.903155356591079,2
"SHIR",0.900684202023426,2
"fedavg",0.908822511261611,2
"Qfedavg",0.907290818484772,2
"fedavgM",0.908287162447719,2
"coef_fedprox_lr0.01_drop0_mu0",0.902199947033402,2
"Central",0.913832374300318,3
"Site1_Local",0.88677121296926,3
"Site2_Local",0.901077397354744,3
"Site3_Local",0.922353008579913,3
"DAC",0.914272890292039,3
"Meta",0.916750588013961,3
"SHIR",0.912063286523878,3
"fedavg",0.912830894935648,3
"Qfedavg",0.895603232557175,3
"fedavgM",0.913037719302769,3
"coef_fedprox_lr0.01_drop0_mu0",0.912815340540491,3
