"","x"
"1",-0.173903316982719
"2",-1.60340048029376
"3",0.948738406366814
"4",0.645091684273103
"5",0.182052861041689
"6",0
"7",0.030437216421191
"8",0.135837043225978
"9",0
"10",-0.0194592198947488
"11",0.00403819352902947
"12",0
"13",0
"14",0.011298089609715
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",-0.0487181536407666
"25",0
"26",0
"27",0
"28",0
"29",0.0623313512487185
"30",0
"31",0
"32",0
"33",-0.0333695566848665
"34",0.0226240414302308
"35",0.0196396683938626
"36",0.0437763526275083
"37",-0.0848084177671747
"38",-0.0381250773462672
"39",0.0868625592707955
"40",-0.0376612330832906
"41",0
"42",0
"43",-0.113943447351462
"44",0.0492470119267898
"45",-0.0348028666126105
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",-0.0161403014353726
"55",0
"56",0.000794394062756005
"57",0
"58",0.202112144238613
"59",0
"60",0
"61",0.145303660426813
"62",0
"63",-0.0750315012989137
"64",0
"65",0
"66",0
"67",-0.00746310367660825
"68",0.131509497285909
"69",0.0148585143013194
"70",0
"71",0.0166072960156499
"72",-0.03184235990328
"73",0.0371427764352806
"74",0
"75",0.0590656171928783
"76",0.0355087650302615
"77",0
"78",-0.0948938779407843
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",-0.0453484895764874
"89",0
"90",-0.0304923414310278
"91",0
"92",0
"93",-0.0239896330170526
"94",0.0313943347086902
"95",0
"96",0.0288012056267152
"97",0.0435068570762832
"98",0
"99",0
"100",0
"101",0
