"Model","AUPRC","Site"
"Central",0.95322115643532,1
"Site1_Local",0.967062419217055,1
"Site2_Local",0.947101147772882,1
"Site3_Local",0.950310762546783,1
"DAC",0.953112287886118,1
"Meta",0.953385049361465,1
"SHIR",0.94885691759787,1
"fedavg",0.96408394559277,1
"Qfedavg",0.971617226690602,1
"fedavgM",0.966450855822091,1
"coef_fedprox_lr0.01_drop0_mu0",0.951359521908656,1
"Central",0.921686473231233,2
"Site1_Local",0.915167859682465,2
"Site2_Local",0.931242955527154,2
"Site3_Local",0.923239385618672,2
"DAC",0.921809639892491,2
"Meta",0.927810355274684,2
"SHIR",0.923063803771651,2
"fedavg",0.925783403850678,2
"Qfedavg",0.924066273455196,2
"fedavgM",0.922623271911415,2
"coef_fedprox_lr0.01_drop0_mu0",0.919664205494144,2
"Central",0.91774082532735,3
"Site1_Local",0.906479266480951,3
"Site2_Local",0.914297286477844,3
"Site3_Local",0.929035717009299,3
"DAC",0.917790377619835,3
"Meta",0.925213404563058,3
"SHIR",0.916074922362149,3
"fedavg",0.920272832501612,3
"Qfedavg",0.917550288881877,3
"fedavgM",0.917787327649119,3
"coef_fedprox_lr0.01_drop0_mu0",0.913265426243336,3
