"vars","p.value","z","V2_better","site"
"Site1_Local","3.02749502720088e-06","-4.52446000775743",FALSE,1
"Site2_Local","0.908820655383132","1.33352770700152",FALSE,1
"Site3_Local","0.483374095971712","-0.041687031995951",FALSE,1
"DAC","0.347102023194201","-0.393156296391576",FALSE,1
"Meta","0.0208802415387037","-2.03589915128632",TRUE,1
"SHIR","0.967379248351954","1.8435996759343",FALSE,1
"fedavg","0.000313749262783471","-3.41944137367894",TRUE,1
"Qfedavg","1.25985654497916e-06","-4.70652806621943",FALSE,1
"fedavgM","6.05888169893006e-05","-3.84373139482177",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.984931376772403","2.16828187708452",FALSE,1
"Site1_Local","0.958660053729217","1.7353440006188",FALSE,2
"Site2_Local","7.63339392352735e-06","-4.3248035099073",FALSE,2
"Site3_Local","0.221315422721059","-0.767758211416277",FALSE,2
"DAC","0.0119257400447838","-2.2595132009842",TRUE,2
"Meta","0.00108301987791744","-3.06646802280529",TRUE,2
"SHIR","0.88997053541665","1.22637143822978",FALSE,2
"fedavg","0.307286074419332","-0.503557806747321",FALSE,2
"Qfedavg","0.577964234970624","0.196688218778398",FALSE,2
"fedavgM","0.507865009578478","0.0197159326381657",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.997955276698709","2.87117840025078",FALSE,2
"Site1_Local","0.99879157900999","3.03356305540716",FALSE,3
"Site2_Local","0.943342155424281","1.5834642484056",FALSE,3
"Site3_Local","6.81575236842475e-06","-4.34971424446434",FALSE,3
"DAC","0.510896295011172","0.0273163579523836",FALSE,3
"Meta","0.00196116806912738","-2.88434112821083",TRUE,3
"SHIR","0.99763834765976","2.82532251847065",FALSE,3
"fedavg","0.00399826046694105","-2.65221666898524",TRUE,3
"Qfedavg","0.790877990243935","0.809471448112468",FALSE,3
"fedavgM","0.0251798068299139","-1.95689670826477",TRUE,3
"coef_fedprox_lr0.01_drop0_mu0","0.949903757909121","1.64392118188812",FALSE,3
