"","x"
"1",-0.182953872240422
"2",-1.93621884009492
"3",0.962767383384264
"4",0.793420880793171
"5",0.337126769102144
"6",0.202948017898555
"7",0.00938411182386384
"8",0
"9",-0.0500336782657966
"10",0
"11",0
"12",0.0241291395478631
"13",0.00731697485184146
"14",0
"15",0
"16",0
"17",0.0182265869767283
"18",0
"19",0
"20",0.0474697481744892
"21",0
"22",0
"23",0.0085910781223116
"24",0.010347187633999
"25",0
"26",0
"27",0
"28",0.0352301041861494
"29",0
"30",0.0371845272756652
"31",0
"32",0.0322222852795819
"33",0.0121155741335328
"34",-0.0349263850172155
"35",0.0427851202898882
"36",0
"37",0
"38",0.000685134612163884
"39",0
"40",0
"41",0
"42",0.0248588731770027
"43",0
"44",-0.0237654232137736
"45",0.040106093421799
"46",0.0109880877653018
"47",0
"48",0.0147561299706787
"49",0.0452130849068287
"50",-0.0397718473424235
"51",0.0111843757553416
"52",0.034888661484907
"53",0
"54",-0.0068348166610568
"55",0
"56",-0.00721226385694563
"57",-0.00220208798040208
"58",0
"59",0
"60",0
"61",-0.0300607932708512
"62",0.0200890460393347
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0.0362644426528318
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",-0.0105803233575818
"83",-0.035066588061419
"84",0
"85",0
"86",0.00475795757124033
"87",0.00963804377141496
"88",0
"89",0.00789882262894655
"90",-0.0321780725468456
"91",0
"92",0
"93",0
"94",0
"95",-0.00199208616841845
"96",0
"97",0.0273848928372376
"98",0
"99",0
"100",0
"101",0
