"Model","AUPRC","Site"
"Central",0.887728517021254,1
"Site1_Local",0.917223398802882,1
"Site2_Local",0.883302937522922,1
"Site3_Local",0.885018607291484,1
"DAC",0.888317022518387,1
"Meta",0.890420473249982,1
"SHIR",0.883198433795888,1
"fedavg",0.90044100452359,1
"Qfedavg",0.939208082948429,1
"fedavgM",0.896875869290296,1
"coef_fedprox_lr0.01_drop0_mu0",0.885499652836517,1
"Central",0.93447349387017,2
"Site1_Local",0.926977468383737,2
"Site2_Local",0.938140472479574,2
"Site3_Local",0.929685030382688,2
"DAC",0.936309860672615,2
"Meta",0.933392071333178,2
"SHIR",0.933154666983595,2
"fedavg",0.936190575570152,2
"Qfedavg",0.924760480785025,2
"fedavgM",0.937818346969463,2
"coef_fedprox_lr0.01_drop0_mu0",0.932535152643778,2
"Central",0.916490092148904,3
"Site1_Local",0.913666775770492,3
"Site2_Local",0.913397620774705,3
"Site3_Local",0.919671624426934,3
"DAC",0.916281155825356,3
"Meta",0.918623482708189,3
"SHIR",0.915316623907884,3
"fedavg",0.91808731228683,3
"Qfedavg",0.90533908976739,3
"fedavgM",0.918234488242588,3
"coef_fedprox_lr0.01_drop0_mu0",0.91110125705258,3
