"","x"
"1",0.334013712541058
"2",-1.88205320338218
"3",0.89469301660886
"4",0.722973049488116
"5",0.308871208434958
"6",0.139914738826612
"7",0.0287542575527384
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",-0.0135558266007698
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",-0.0610868325717669
"31",0
"32",0
"33",0.000910774554679801
"34",0
"35",0
"36",0
"37",0.0378328469386444
"38",0
"39",-0.0234432507578689
"40",0
"41",0
"42",0
"43",0
"44",0
"45",-0.00767039114993777
"46",0
"47",0
"48",0
"49",0
"50",-0.00777915119135224
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",-0.00907707807470763
"63",0
"64",-0.00788834884095906
"65",0
"66",0
"67",0
"68",0.00314003895794158
"69",0
"70",0.00807411530271647
"71",-0.0106797006201756
"72",0
"73",0
"74",-0.0153628024077571
"75",0
"76",0.017565681812345
"77",-0.000812590635306097
"78",0
"79",0
"80",0
"81",0
"82",0.0186455671622624
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0.0524889114514183
"90",0
"91",0
"92",0
"93",0
"94",-0.0206267899714461
"95",0
"96",0
"97",0.00523810975127708
"98",-0.00806639116054166
"99",0
"100",0
"101",0
