"","x"
"1",0.246895378288132
"2",-1.44906698337539
"3",0.720108632489298
"4",0.573082817948622
"5",0.260943587580889
"6",0.0925206884302908
"7",0.0128308415163705
"8",0
"9",0
"10",0
"11",0.0223325912216113
"12",0.00618239341436103
"13",0
"14",0.0288532342331297
"15",0
"16",0
"17",0
"18",0
"19",-0.0115405314081108
"20",0.0152987715033824
"21",0
"22",0.0176681049245211
"23",-0.0265125494854653
"24",0
"25",-0.0218124380976577
"26",-0.00385867810620307
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.0280030936845777
"33",0
"34",0.03949741286073
"35",0
"36",-0.0062202584056684
"37",-0.0190512396948494
"38",0
"39",0
"40",0
"41",0
"42",-0.0194331127929071
"43",0.0156855788813463
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",-0.00410821570053326
"54",-0.0239178549450739
"55",0
"56",0.00408627272877203
"57",0
"58",0
"59",0
"60",0
"61",-0.0159241721880697
"62",-0.0047896748540463
"63",0
"64",0
"65",0
"66",0.00982238388146814
"67",0
"68",-0.0129587712534084
"69",0
"70",0
"71",0
"72",0
"73",-0.0379341859213936
"74",0.0251871317915113
"75",0
"76",-0.0174230599557417
"77",0.0096995370377322
"78",0.00248522964334417
"79",0
"80",0
"81",0
"82",-0.00728499392949967
"83",0.0550969768258767
"84",0
"85",0
"86",-0.0220261172963299
"87",0
"88",0
"89",-0.00487738612184241
"90",0
"91",0.00754726849634589
"92",0
"93",-0.000187973850634986
"94",0
"95",0
"96",0.0073671394560064
"97",0
"98",-0.0195460642398766
"99",-0.00757292116139771
"100",-0.0189556183415423
"101",-0.0131731024440628
