"Model","AUPRC","Site"
"Central",0.933774118934644,1
"Site1_Local",0.937182281062352,1
"Site2_Local",0.933469752352338,1
"Site3_Local",0.932451057819955,1
"Meta",0.93439573704658,1
"GLORE",0.933774118934644,1
"fedavg",0.934367846203351,1
"Qfedavg",0.934336766462979,1
"fedavgM",0.934347658836591,1
"coef_fedprox_lr0.01_drop0_mu0",0.934443059222695,1
"Central",0.906241168342436,2
"Site1_Local",0.902716983845336,2
"Site2_Local",0.907816336624427,2
"Site3_Local",0.906691542181573,2
"Meta",0.90757001838406,2
"GLORE",0.906241168342436,2
"fedavg",0.906661096013507,2
"Qfedavg",0.90696421214467,2
"fedavgM",0.906662106170494,2
"coef_fedprox_lr0.01_drop0_mu0",0.906114847042322,2
"Central",0.91778828138128,3
"Site1_Local",0.915222002004062,3
"Site2_Local",0.916209455593489,3
"Site3_Local",0.918653520390237,3
"Meta",0.91817759806289,3
"GLORE",0.91778828138128,3
"fedavg",0.917990335823592,3
"Qfedavg",0.917949308038362,3
"fedavgM",0.917983071946161,3
"coef_fedprox_lr0.01_drop0_mu0",0.917841609306922,3
