"","x"
"1",0.425560704814749
"2",-1.60161612554534
"3",0.70213884802451
"4",0.519261409366839
"5",0.292308923393691
"6",0.049163462778611
"7",0.0112223409827373
"8",-0.00822474650542754
"9",0
"10",-0.0191463818616763
"11",0
"12",0
"13",-0.00685339995484863
"14",0.0116024918341262
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0.0324045373274728
"25",0
"26",0
"27",0
"28",0.0441654605356547
"29",-0.0895893850837526
"30",0
"31",0.00525119638295737
"32",0
"33",0
"34",0
"35",0.0601483810417166
"36",0
"37",0
"38",-0.0239347800498476
"39",-0.0212705054347476
"40",0
"41",-0.00163301014659054
"42",0.0158666918180755
"43",0
"44",0
"45",0
"46",0
"47",-0.034882240202959
"48",0
"49",0.00422795985064106
"50",0.0104231879186389
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0.0328698572538719
"57",0
"58",0
"59",-0.0106637757419808
"60",0
"61",-0.0321132898144602
"62",0
"63",0.0665805426589206
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",-0.00439588389975754
"71",0.00059130264764116
"72",-0.0329871774657673
"73",0.00747565898260864
"74",0
"75",0
"76",-0.00363139832752622
"77",0.0170731919803657
"78",-0.0250848024298642
"79",0.0210190755596415
"80",0.0125727363195108
"81",0.0115080083730646
"82",0.0165205731700979
"83",-0.0153973342450929
"84",-0.0318403640623473
"85",0
"86",0
"87",0
"88",-0.017258514015073
"89",0
"90",0
"91",0
"92",0
"93",-0.00240940151766479
"94",0
"95",0.0197209025890992
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
